;title;tconst;primaryTitle;startYear;runtimeMinutes;genres;averageRating;numVotes;Action;Adult;Adventure;Animation;Biography;Comedy;Crime;Documentary;Drama;Family;Fantasy;Film-Noir;Game-Show;History;Horror;Music;Musical;Mystery;News;Reality-TV;Romance;Sci-Fi;Short;Sport;Talk-Show;Thriller;War;Western;decade
6389;Kate et Léopold;tt0035423;Kate & Leopold;2001;118;Comedy,Fantasy,Romance;6.4;83389;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2000
17197;L'éveil de la bête;tt0062690;Awakening of the Beast;1970;93;Drama,Horror;5.9;1157;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
17804;Le boucher;tt0064106;Le Boucher;1970;93;Drama,Thriller;7.4;8535;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1970
17839;Les choses de la vie;tt0064165;The Things of Life;1970;89;Drama,Romance;7.5;4767;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1970
17852;Le cerveau d'acier;tt0064177;Colossus: The Forbin Project;1970;100;Sci-Fi,Thriller;7.1;8878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1970
17857;Le Mannequin défiguré;tt0064188;Crescendo;1970;96;Horror,Thriller;5.2;738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1970
17870;Dernier domicile connu;tt0064225;Last Known Address;1970;105;Crime,Thriller;6.9;1607;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1970
17892;Un homme, un cheval, un fusil;tt0064273;And God Said to Cain;1970;100;Horror,Western;6.6;1259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1970
17893;Et le vent apporta la violence;tt0064273;And God Said to Cain;1970;100;Horror,Western;6.6;1259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1970
17900;La horse;tt0064294;Horse;1970;90;Crime,Thriller;6.9;834;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1970
17967;Les tueurs de la lune de miel;tt0064437;The Honeymoon Killers;1970;107;Crime,Drama,Romance;7.0;5134;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1970
17973;A Touch of Zen;tt0064451;A Touch of Zen;1971;200;Action,Adventure,Drama;7.5;6198;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
17974;Les héroïques;tt0064451;A Touch of Zen;1971;200;Action,Adventure,Drama;7.5;6198;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
17988;Inassouvies;tt0064494;Eugenie;1970;87;Drama,Horror;5.3;1628;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
17989;Les inassouvies;tt0064494;Eugenie;1970;87;Drama,Horror;5.3;1628;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18004;Le marteau des sorcières;tt0064546;Witchhammer;1970;107;Drama,History,Horror;7.8;2257;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18007;Le roi Lear;tt0064553;King Lear;1970;140;Drama;8.1;1529;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18026;L'ange et le démon;tt0064598;London Affair;1970;98;Comedy,Drama,Romance;5.3;963;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1970
18072;Reincarnator;tt0064687;Assignment Terror;1970;87;Horror,Sci-Fi;4.0;865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1970
18073;Dracula contre Frankenstein;tt0064687;Assignment Terror;1970;87;Horror,Sci-Fi;4.0;865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1970
18093;The Bloody Judge - Le Juge sanglant;tt0064727;The Bloody Judge;1970;91;Biography,Horror;5.2;1223;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18094;Le Trône de feu;tt0064727;The Bloody Judge;1970;91;Biography,Horror;5.2;1223;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18112;Les fruits du paradis;tt0064781;Fruit of Paradise;1970;99;Drama;6.8;1117;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18115;Le passager de la pluie;tt0064791;Rider on the Rain;1970;120;Crime,Drama,Mystery;6.7;3224;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1970
18123;La porte magique;tt0064806;The Phantom Tollbooth;1970;90;Adventure,Animation,Comedy;6.8;3201;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18163;Une hache pour la lune de miel;tt0064904;Hatchet for the Honeymoon;1970;88;Horror,Mystery,Thriller;6.4;3749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1970
18164;La baie sanglante 2;tt0064904;Hatchet for the Honeymoon;1970;88;Horror,Mystery,Thriller;6.4;3749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1970
18176;Lâchez les monstres;tt0064949;Scream and Scream Again;1970;95;Crime,Drama,Horror;5.5;3860;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18177;Doctor Diabolic;tt0064949;Scream and Scream Again;1970;95;Crime,Drama,Horror;5.5;3860;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18224;Une messe pour Dracula;tt0065073;Taste the Blood of Dracula;1970;91;Drama,Fantasy,Horror;6.3;5995;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18245;Sierra torride;tt0065134;Two Mules for Sister Sara;1970;116;Adventure,Romance,War;7.0;27328;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1970
18248;L'oiseau au plumage de cristal;tt0065143;The Bird with the Crystal Plumage;1970;96;Horror,Mystery,Thriller;7.1;20563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1970
18262;La vampire nue;tt0065168;The Nude Vampire;1970;90;Horror;5.3;1491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18311;Un shérif à New York;tt0065317;McCloud;1970;120;Action,Crime,Drama;7.0;3257;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18314;Monsieur, vous êtes veuve;tt0065331;You Are a Widow, Sir!;1971;97;Comedy,Sci-Fi;7.4;777;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1970
18320;...tick... tick... tick... et la violence explosa !;tt0065360;Tick, Tick, Tick;1970;100;Action,Drama;6.7;1048;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18328;Les derniers aventuriers;tt0065374;The Adventurers;1970;171;Action,Adventure,Drama;5.4;768;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18330;Airport;tt0065377;Airport;1970;137;Action,Drama,Thriller;6.6;18939;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1970
18334;Reconstitution;tt0065396;Reconstruction;1970;100;Crime,Drama;7.3;1293;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18335;And Soon the Darkness;tt0065398;And Soon the Darkness;1970;99;Horror,Mystery,Thriller;6.6;3423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1970
18340;L'Adieu à Venise;tt0065408;The Anonymous Venetian;1970;91;Drama,Music,Romance;6.9;700;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1970
18343;Des jours et des nuits dans la forêt;tt0065417;Days and Nights in the Forest;1970;115;Drama;8.1;2655;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18351;Les nains aussi ont commencé petits;tt0065436;Even Dwarfs Started Small;1970;96;Comedy,Drama;6.8;5841;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18352;L'aveu;tt0065439;The Confession;1970;139;Drama,History,Thriller;7.8;4286;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1970
18353;Baal;tt0065440;Baal;1970;87;Drama;6.5;671;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18356;Un nommé Cable Hogue;tt0065446;The Ballad of Cable Hogue;1970;121;Comedy,Drama,Romance;7.2;9417;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1970
