;directors;tconst;primaryName
0;nm0000095;tt0065063;Woody Allen
1;nm0000095;tt0066808;Woody Allen
2;nm0000095;tt0068555;Woody Allen
3;nm0000095;tt0070707;Woody Allen
4;nm0000095;tt0073312;Woody Allen
5;nm0000095;tt0075686;Woody Allen
6;nm0000095;tt0077742;Woody Allen
7;nm0000095;tt0079522;Woody Allen
8;nm0000095;tt0081554;Woody Allen
9;nm0000095;tt0084329;Woody Allen
10;nm0000095;tt0086637;Woody Allen
11;nm0000095;tt0087003;Woody Allen
12;nm0000095;tt0089853;Woody Allen
13;nm0000095;tt0091167;Woody Allen
14;nm0000095;tt0093818;Woody Allen
15;nm0000095;tt0093940;Woody Allen
16;nm0000095;tt0094663;Woody Allen
17;nm0000095;tt0097123;Woody Allen
18;nm0000095;tt0099012;Woody Allen
19;nm0000095;tt0104466;Woody Allen
20;nm0000095;tt0105378;Woody Allen
21;nm0000095;tt0107507;Woody Allen
22;nm0000095;tt0109348;Woody Allen
23;nm0000095;tt0109644;Woody Allen
24;nm0000095;tt0113819;Woody Allen
25;nm0000095;tt0116242;Woody Allen
26;nm0000095;tt0118954;Woody Allen
27;nm0000095;tt0120533;Woody Allen
28;nm0000095;tt0133962;Woody Allen
29;nm0000095;tt0158371;Woody Allen
30;nm0000095;tt0196216;Woody Allen
31;nm0000095;tt0256524;Woody Allen
32;nm0000095;tt0278823;Woody Allen
33;nm0000095;tt0299150;Woody Allen
34;nm0000095;tt0313792;Woody Allen
35;nm0000095;tt0378947;Woody Allen
36;nm0000095;tt0416320;Woody Allen
37;nm0000095;tt0457513;Woody Allen
38;nm0000095;tt0497465;Woody Allen
39;nm0000095;tt0795493;Woody Allen
40;nm0000095;tt1178663;Woody Allen
41;nm0000095;tt1182350;Woody Allen
42;nm0000095;tt15140278;Woody Allen
43;nm0000095;tt1605783;Woody Allen
44;nm0000095;tt1859650;Woody Allen
45;nm0000095;tt2334873;Woody Allen
46;nm0000095;tt2870756;Woody Allen
47;nm0000095;tt3715320;Woody Allen
48;nm0000095;tt4354616;Woody Allen
49;nm0000095;tt4448238;Woody Allen
50;nm0000095;tt4513674;Woody Allen
51;nm0000095;tt4686338;Woody Allen
52;nm0000095;tt4699516;Woody Allen
53;nm0000095;tt4699524;Woody Allen
54;nm0000095;tt4699528;Woody Allen
55;nm0000095;tt4699530;Woody Allen
56;nm0000095;tt5825380;Woody Allen
57;nm0000095;tt7139936;Woody Allen
58;nm0000095;tt8593904;Woody Allen
59;nm0000142;tt0067588;Clint Eastwood
60;nm0000142;tt0068699;Clint Eastwood
61;nm0000142;tt0069822;Clint Eastwood
62;nm0000142;tt0072926;Clint Eastwood
63;nm0000142;tt0075029;Clint Eastwood
64;nm0000142;tt0076070;Clint Eastwood
65;nm0000142;tt0080472;Clint Eastwood
66;nm0000142;tt0083943;Clint Eastwood
67;nm0000142;tt0084088;Clint Eastwood
68;nm0000142;tt0086383;Clint Eastwood
69;nm0000142;tt0089767;Clint Eastwood
70;nm0000142;tt0091187;Clint Eastwood
71;nm0000142;tt0094747;Clint Eastwood
72;nm0000142;tt0100514;Clint Eastwood
73;nm0000142;tt0100928;Clint Eastwood
74;nm0000142;tt0105695;Clint Eastwood
75;nm0000142;tt0107808;Clint Eastwood
76;nm0000142;tt0112579;Clint Eastwood
77;nm0000142;tt0118548;Clint Eastwood
